World League Ayuda
NA, Parliament, Congress,,,,,,,,,,,
SA, Andes, Amazon,,,,,,,,,,,
EU, Kings, Queens,,,,,,,,,,,
AnO, Samurai, Assassin,,,,,,,,,,,
NAF, Sahara, Nile,,,,,,,,,,,
Indies, Outcasts, Rejects,,,,,,,,,,,
# Team format:,Conference,Division,Name,Abbr,Prestige,Rival,,,,,,,
# NA,,,,,,,,,,,,,
TEAM,NA,Parliament,Canada,CAN,87,USA,,,,,,,
TEAM,NA,Parliament,Cuba,CUB,65,MEX,,,,,,,
TEAM,NA,Parliament,Haiti,HAI,53,DR,,,,,,,
TEAM,NA,Parliament,Jamaica,JAM,50,BAH,,,,,,,
TEAM,NA,Parliament,El Salvador,ES,45,BEL,,,,,,,
TEAM,NA,Parliament,Trinidad & Tobago,TNT,75,PAN,,,,,,,
TEAM,NA,Parliament,Costa Rica,CR,63,PR,,,,,,,
TEAM,NA,Congress,United States,USA,92,CAN,,,,,,,
TEAM,NA,Congress,Mexico,MEX,93,CUB,,,,,,,
TEAM,NA,Congress,Dominican Republic,DR,48,HAI,,,,,,,
TEAM,NA,Congress,The Bahamas,BAH,59,JAM,,,,,,,
TEAM,NA,Congress,Belize,BEL,58,ES,,,,,,,
TEAM,NA,Congress,Panama,PAN,53,TNT,,,,,,,
TEAM,NA,Congress,Puerto Rico,PR,58,CR,,,,,,,
# SA,,,,,,,,,,,,,
TEAM,SA,Andes,Brazil,BRA,87,ARG,,,,,,,
TEAM,SA,Andes,Paraguay,PAR,74,URU,,,,,,,
TEAM,SA,Andes,Chile,CHI,92,BOL,,,,,,,
TEAM,SA,Andes,Ecuador,ECU,81,PER,,,,,,,
TEAM,SA,Andes,Colombia,COL,94,VEN,,,,,,,
TEAM,SA,Andes,Suriname,SUR,68,GUY,,,,,,,
TEAM,SA,Andes,Galapagos,GAL,58,EAS,,,,,,,
TEAM,SA,Amazon,Argentina,ARG,71,BRA,,,,,,,
TEAM,SA,Amazon,Uruguay,URU,65,PAR,,,,,,,
TEAM,SA,Amazon,Bolivia,BOL,75,CHI,,,,,,,
TEAM,SA,Amazon,Peru,PER,60,ECU,,,,,,,
TEAM,SA,Amazon,Venezuela,VEN,89,COL,,,,,,,
TEAM,SA,Amazon,Guyana,GUY,51,SUR,,,,,,,
TEAM,SA,Amazon,Easter Islands,EAS,60,GAL,,,,,,,
# EU,,,,,,,,,,,,,
TEAM,EU,Kings,Scotland,SCOT,80,ENG,,,,,,,
TEAM,EU,Kings,Ireland,IRE,42,WALES,,,,,,,
TEAM,EU,Kings,France,FRA,74,GER,,,,,,,
TEAM,EU,Kings,Spain,ESP,44,POR,,,,,,,
TEAM,EU,Kings,Italy,ITA,73,CRO,,,,,,,
TEAM,EU,Kings,Sweden,SWE,75,NOR,,,,,,,
TEAM,EU,Kings,Russia,RUS,62,POL,,,,,,,
TEAM,EU,Queens,England,ENG,52,SCOT,,,,,,,
TEAM,EU,Queens,Wales,WALES,62,IRE,,,,,,,
TEAM,EU,Queens,Germany,GER,95,FRA,,,,,,,
TEAM,EU,Queens,Portugal,POR,41,ESP,,,,,,,
TEAM,EU,Queens,Croatia,CRO,68,ITA,,,,,,,
TEAM,EU,Queens,Norway,NOR,89,SWE,,,,,,,
TEAM,EU,Queens,Poland,POL,79,RUS,,,,,,,
# AnO,,,,,,,,,,,,,
TEAM,AnO,Samurai,Japan,JPN,79,CHN,,,,,,,
TEAM,AnO,Samurai,South Korea,ROK,54,DPRK,,,,,,,
TEAM,AnO,Samurai,India,IND,74,PAK,,,,,,,
TEAM,AnO,Samurai,Australia,AUS,55,VIET,,,,,,,
TEAM,AnO,Samurai,Israel,ISR,53,PAL,,,,,,,
TEAM,AnO,Samurai,Kuwait,KUW,57,IRAQ,,,,,,,
TEAM,AnO,Samurai,Saudi Arabia,KSA,54,QAT,,,,,,,
TEAM,AnO,Assassin,China,CHN,59,JPN,,,,,,,
TEAM,AnO,Assassin,North Korea,DPRK,74,ROK,,,,,,,
TEAM,AnO,Assassin,Pakistan,PAK,61,IND,,,,,,,
TEAM,AnO,Assassin,Vietnam,VIET,56,AUS,,,,,,,
